n,date,domain,lang,title,url,article_kind,primary_voice,voice_name,voice_affiliation,stance,claim_strength,predicted_scope,timeframe,stated_probability,p_full,brier,score,side,key_quote,key_quote_en,summary,quote_verified,text_source,snapshot
11,2021-11-25,ria.ru,ru,"Захарова шуткой ответила на репортаж CNN про ""нападение"" России на Украину",https://ria.ru/20211125/zakhrova-1760718206.html,news,official_russian,Maria Zakharova,Russian Ministry of Foreign Affairs,-0.85,0.8,none,unspecified,,0.075,0.856,14,no_invasion,"Во-первых, если вы смотрите CNN, то должны быть в курсе, что мы уже напали не один раз на Украину, и танки бороздят украинские поля. Если смотреть CNN, это происходит уже на протяжении многих лет","First, if you watch CNN, you should be aware that we have already attacked Ukraine more than once, and tanks are plowing Ukrainian fields. If you watch CNN, this has been happening for many years","Russian Foreign Ministry spokesperson Maria Zakharova sarcastically dismisses CNN reports of Russian attack on Ukraine as fake, implying no such attack is planned or occurring.",True,live,
12,2021-11-25,ukrinform.net,en,Ukraine at OSCE: Russian invasion not ruled out,https://ukrinform.net/rubric-defense/3357010-ukraine-at-osce-russian-invasion-not-ruled-out.html,news,official_ukrainian,Ukraine's Mission to the OSCE; Kyrylo Budanov (Main Intelligence Directorate),Ukraine Ministry of Defense; OSCE,0.65,0.7,full_scale,January-February 2022,,0.825,0.031,97,invasion,"Taking into account all the recent actions of the Russian side, combined with its hostile rhetoric towards Ukraine and other countries, which is manifested at all levels, we do not rule out the possibility of the Russian leadership deciding on a military invasion.","Taking into account all the recent actions of the Russian side, combined with its hostile rhetoric towards Ukraine and other countries, which is manifested at all levels, we do not rule out the possibility of the Russian leadership deciding on a military invasion.","Ukraine's OSCE Mission and intelligence chief Budanov assess that Russian military invasion is possible and not ruled out, potentially occurring January-February 2022 from multiple directions, citing 92,000 troops deployed and intensified military exercises.",True,live,
13,2021-11-25,rusi.org,en,russia vs ukraine flaws western grey zone theories,https://rusi.org/explore-our-research/publications/commentary/russia-vs-ukraine-flaws-western-grey-zone-theories,analysis,author,Sam Cranny-Evans,RUSI (Royal United Services Institute),0.65,0.75,full_scale,winter 2021 / unspecified near-term,,0.825,0.031,97,invasion,"For all of the bold words promising 'grave consequences' should Russian troops enter Ukraine, there is little sign that NATO actually possesses the will or the means to rebuff a Russian incursion... Russia may have calculated that the potential benefits of a new campaign in Ukraine likely outweigh the risks, and that the campaign would ultimately prove successful.","For all of the bold words promising 'grave consequences' should Russian troops enter Ukraine, there is little sign that NATO actually possesses the will or the means to rebuff a Russian incursion... Russia may have calculated that the potential benefits of a new campaign in Ukraine likely outweigh the risks, and that the campaign would ultimately prove successful.","Sam Cranny-Evans (RUSI) argues that Russia's conventional military buildup on Ukraine's border suggests Moscow may have calculated invasion benefits outweigh risks, and that NATO lacks credible will or means to stop it, predicting a full-scale conventional operation rather than hybrid tactics.",True,live,
14,2021-11-25,reuters.com,en,Russian aggression against Ukraine should lead to EU sanctions - Merkel,https://reuters.com/world/europe/russian-aggression-against-ukraine-should-lead-eu-sanctions-merkel-2021-11-25,news,official_western,Angela Merkel,German Chancellor,0.3,0.6,unclear,unspecified,,0.65,0.122,88,invasion,Any further aggression against the sovereignty of Ukraine would carry a high price. Defusing the situation should always be the preferred option.,Any further aggression against the sovereignty of Ukraine would carry a high price. Defusing the situation should always be the preferred option.,"German Chancellor Merkel warns that further Russian aggression against Ukraine would trigger EU sanctions, implicitly acknowledging escalation risk while emphasizing preference for de-escalation.",False,wayback,20211125143459
15,2021-11-26,radiosvoboda.org,uk,Данілов про можливе вторгнення Росії в січні: не бачимо загроз,https://radiosvoboda.org/a/news-rnbo-vtorhnennia-rosii/31579927.html,news,official_ukrainian,Oleksiy Danilov,Security and Defence Council of Ukraine (RNBO),-0.7,0.75,full_scale,January 2022,,0.15,0.722,28,no_invasion,"Ми на сьогоднішній день не бачимо тих загроз, про які каже пан Буданов саме на 15 січня.",We do not see today the threats that Mr. Budanov speaks of specifically for January 15.,"Ukrainian RNBO Secretary Danilov says he does not see threats of full-scale Russian invasion in January (contradicting GUR chief Budanov's warning of late January/early February attack), though he acknowledges Putin has not removed Ukraine's destruction from his agenda.",True,live,
16,2021-11-26,rferl.org,en,"Zelenskiy Says Ukraine Ready For Any Escalation With Russia, Claims Coup Plans Uncovered",https://rferl.org/a/ukraine-zelenskiy-russia-escalation/31580464.html,news,official_western,U.S. officials / U.S. intelligence,U.S. State Department / U.S. Intelligence Community,0.65,0.7,full_scale,winter 2021-2022 / unspecified,,0.825,0.031,97,invasion,"Media outlets including The New York Times and Bloomberg have quoted U.S. officials as warning that Russia might attack this winter, with some saying a potential invasion could be ""on a scale far greater"" than in 2014.","Media outlets including The New York Times and Bloomberg have quoted U.S. officials as warning that Russia might attack this winter, with some saying a potential invasion could be ""on a scale far greater"" than in 2014.","U.S. officials warn Russia might attack Ukraine this winter on a scale greater than 2014, while Zelenskiy says Ukraine is ready for escalation; Moscow dismisses invasion talk as groundless.",True,live,
17,2021-11-29,iz.ru,ru,Латвия призвала ЕС и НАТО пресечь «эскалацию напряженности» на границе с Украиной,https://iz.ru/1256548/2021-11-29/latviia-prizvala-es-i-nato-presech-eskalatciiu-napriazhennosti-na-granitce-s-ukrainoi,news,official_russian,Dmitry Peskov,Kremlin,-0.85,0.9,none,unspecified,,0.075,0.856,14,no_invasion,слова о якобы планируемом Россией нападении абсолютно беспочвенны,claims about an allegedly planned Russian attack are absolutely groundless,"Russian Kremlin spokesman Peskov denies invasion plans as 'absolutely groundless,' dismissing Western and Ukrainian media reports of a possible Russian attack as hysteria, while Latvia's PM calls for EU/NATO vigilance against escalation.",True,live,
18,2021-11-29,ukrinform.net,en,"Kuleba believes decision to invade Ukraine ""on table"" in Kremlin",https://ukrinform.net/rubric-polytics/3359425-kuleba-believes-decision-to-invade-ukraine-on-table-in-kremlin.html,news,official_ukrainian,Dmytro Kuleba,Ukrainian Foreign Ministry,0.65,0.7,full_scale,late January-early February 2022,,0.825,0.031,97,invasion,"Russia considers the invasion as one of the alternative options. And although there is no evidence that the decision to go for it has already been made in Moscow, this option is 'on the table,' Kuleba noted.","Russia considers the invasion as one of the alternative options. And although there is no evidence that the decision to go for it has already been made in Moscow, this option is 'on the table,' Kuleba noted.","Ukrainian Foreign Minister Kuleba assesses that Russia has invasion as an active option 'on the table' based on military buildup and diplomatic obstruction, though no final decision is confirmed; Ukrainian intelligence chief Budanov warns of 92,000+ troops preparing for offensive in late January-early February 2022, while another security official downplays imminent threat.",True,live,
19,2021-11-29,unian.ua,uk,Майбутня агресія Кремля проти України дорого обійдеться для РФ - генсек НАТО,https://unian.ua/war/maybutnya-agresiya-kremlya-proti-ukrajini-dorogo-obiydetsya-dlya-rf-gensek-nato-novini-donbasu-11625538.html,news,official_western,Jens Stoltenberg,NATO,0.7,0.75,unclear,unspecified,,0.85,0.023,98,invasion,Будь-яка майбутня російська агресія проти України дорого обійдеться і матиме серйозні політичні і економічні наслідки для Росії.,Any future Russian aggression against Ukraine will be costly and will have serious political and economic consequences for Russia.,"NATO Secretary General Stoltenberg warns that any future Russian aggression against Ukraine will be costly, citing unprecedented military buildup; Ukrainian officials (Budanov, Zelensky, Kuleba) assess invasion as imminent or already decided.",True,live,
20,2021-11-30,ria.ru,ru,"Немцы высмеяли главу МИД Украины, испугавшегося ""российского вторжения""",https://ria.ru/20211130/kuleba-1761376992.html,news,official_russian,Russian Ministry of Foreign Affairs (MID),Russian Government,-0.85,0.9,none,unspecified,,0.075,0.856,14,no_invasion,"Москва не раз опровергала сообщения западных СМИ о стягивании войск к границе с соседним государством. В МИД называли заявления Запада о 'российской агрессии' и возможности помочь Киеву защититься от нее смешными и опасными. Россия неоднократно подчеркивала, что никому не угрожает и ни на кого не собирается нападать.",Moscow has repeatedly denied Western media reports of troop concentration near the border with a neighboring state. The MFA called Western statements about 'Russian aggression' and the possibility of helping Kyiv defend itself from it ridiculous and dangerous. Russia has repeatedly emphasized that it threatens no one and has no intention of attacking anyone.,"Russian official sources deny any plans to invade Ukraine, dismissing Western and Ukrainian warnings of military threat as 'ridiculous' and a pretext for NATO expansion, while the article mocks Ukrainian Foreign Minister Kuleba's concerns about Russian troop concentration.",True,live,
21,2021-11-30,atlanticcouncil.org,en,NATO thwarted a Russian invasion in 1980. Could its playbook work today?,https://atlanticcouncil.org/blogs/new-atlanticist/nato-thwarted-a-russian-invasion-in-1980-could-its-playbook-work-today,analysis,author,Ian Brzezinski,Atlantic Council,0.7,0.75,full_scale,unspecified,,0.85,0.023,98,invasion,"With some one hundred thousand troops, heavy armor, attack aircraft, missiles, and other offensive capabilities parked along Ukraine's northern and eastern borders, Russia has positioned itself for another invasion of its neighbor. As the prospects of another Russian invasion mount, NATO must today match the level of resolve it exercised under the far more challenging contingency it faced in 1980.","With some one hundred thousand troops, heavy armor, attack aircraft, missiles, and other offensive capabilities parked along Ukraine's northern and eastern borders, Russia has positioned itself for another invasion of its neighbor. As the prospects of another Russian invasion mount, NATO must today match the level of resolve it exercised under the far more challenging contingency it faced in 1980.",Ian Brzezinski (Atlantic Council) assesses that Russia has positioned itself for invasion of Ukraine and that invasion prospects are mounting; he argues NATO should adopt Carter's 1980 deterrence playbook but notes current Western resolve appears insufficient.,True,live,
22,2021-12-01,jpost.com,en,"Despite war clouds, a Ukraine-Russia clash is unlikely - analysis",https://jpost.com/international/despite-war-clouds-a-ukraine-russia-clash-is-unlikely-analysis-687533,analysis,author,Jerusalem Post analysis,Jerusalem Post,-0.65,0.7,limited_donbas,unspecified,,0.175,0.681,32,no_invasion,"All of this seems far-fetched. Russia likes to move military units around and call out major drills and exercises to show off its power... However, no one wants a real conflict... Why anyone from Moscow to Washington would want an actual conflict appears far-fetched.","All of this seems far-fetched. Russia likes to move military units around and call out major drills and exercises to show off its power... However, no one wants a real conflict... Why anyone from Moscow to Washington would want an actual conflict appears far-fetched.","Jerusalem Post analysis argues that despite Russian troop concentrations and war rhetoric, a full-scale Russia-Ukraine clash is unlikely because no major actor genuinely wants real conflict; the tensions are characterized as bluster, exercises, and posturing rather than prelude to invasion.",True,wayback,20211201140202
23,2021-12-01,themoscowtimes.com,en,Are Russia and Ukraine Once Again on the Brink of War?,https://themoscowtimes.com/2021/12/01/are-russia-and-ukraine-once-again-on-the-brink-of-war-a75711,analysis,author,Carnegie Moscow Center (published via The Moscow Times),Carnegie Moscow Center,0.55,0.65,full_scale,unspecified,,0.775,0.051,95,invasion,"Russia's military preparations, the publication of the confidential correspondence, and Putin's call for guarantees on its southwestern flank signal that Moscow has recognized the danger of coexisting with such a fortified area and does not want to accept it, but doesn't yet know what to do about it.","Russia's military preparations, the publication of the confidential correspondence, and Putin's call for guarantees on its southwestern flank signal that Moscow has recognized the danger of coexisting with such a fortified area and does not want to accept it, but doesn't yet know what to do about it.","A Carnegie Moscow Center analyst suggests Russia's military buildup and diplomatic moves signal Moscow may be preparing for military action in Ukraine, framing it as a response to perceived Western encroachment and Ukrainian drift away from Russia, though the author presents this as one of two possible interpretations rather than a definitive forecast.",True,live,
24,2021-12-01,dw.com,en,Russia has been warned: So will NATO defend Ukraine? | NRS-Import | DW,https://dw.com/en/russia-has-been-warned-so-will-nato-defend-ukraine/a-59983502,analysis,analyst,Gustav Gressel,European Council on Foreign Relations (ECFR),0.7,0.75,full_scale,unspecified,,0.85,0.023,98,invasion,The Russian military is seriously preparing and planning such an invasion... Whether or not Moscow will go through with it is another question. Gressel believes Russian President Vladimir Putin is so risk-averse that he can be deterred.,The Russian military is seriously preparing and planning such an invasion... Whether or not Moscow will go through with it is another question. Gressel believes Russian President Vladimir Putin is so risk-averse that he can be deterred.,"Multiple analysts, led by Gustav Gressel (ECFR) and Ian Brzezinski (Atlantic Council), assess that Russia is seriously preparing for a full-scale invasion of Ukraine, though Gressel argues Putin is deterrable if NATO provides sufficient military support and credible sanctions threats.",False,live,
25,2021-12-02,mk.ru,ru,Лукашенко договорился с Путиным собрать военных на границе Украины,https://mk.ru/politics/2021/12/02/lukashenko-dogovorilsya-s-putinym-sobrat-voennykh-na-granice-ukrainy.html,news,official_russian,Alexander Lukashenko,Belarus President,-0.3,0.4,unclear,next couple of months,,0.35,0.423,58,no_invasion,"Мы договорились с президентом Путиным, что мы в ближайшее время должны вместе провести учения. Учения планируется провести в два этапа и состоятся они в ближайшие пару месяцев.",We agreed with President Putin that we should conduct joint exercises in the near future. The exercises are planned in two stages and will take place in the next couple of months.,Lukashenko announces planned joint military exercises with Russia on Belarus-Ukraine border in coming months; Ukrainian officials warn of invasion preparations; Kremlin denies military invasion plans; US threatens sanctions.,False,live,
26,2021-12-02,tagesschau.de,de,Russisch-ukrainische Grenze: Was Moskaus Truppenaufmarsch bezweckt,https://tagesschau.de/ausland/europa/russland-truppen-ukraine-101.html,analysis,analyst,Alexander Baunow,Carnegie-Zentrum in Moskau,0.25,0.6,unclear,unspecified,,0.625,0.141,86,invasion,"Auf direktem und militärischem Wege diese Ziele zu erreichen, das ist teuer und schwierig - das weiß auch Putin. Denn für eine Invasion der Ukraine gibt es kaum Unterstützung in der Gesellschaft.",Achieving these goals through direct military means is expensive and difficult—Putin knows this too. Because there is hardly any support in society for an invasion of Ukraine.,"Analyst Baunow suggests a full-scale invasion is unlikely due to domestic opposition and costs, but warns that military escalation risks converting the frozen conflict into active war.",True,live,
27,2021-12-03,unian.ua,uk,Чому Росія не нападе на Україну: експерт з розвідки назвав несподівану причину,https://unian.ua/war/chomu-rosiya-ne-napade-na-ukrajinu-ekspert-z-rozvidki-nazvav-nespodivanu-prichinu-novini-donbasu-11631043.html,news,analyst,Mikhaylo Prytula,military intelligence expert,-0.75,0.7,none,unspecified,,0.125,0.766,23,no_invasion,"Росія не ризикне напасти на Україну через брак власної військової потужності... якщо підуть танки - ми отримаємо 'Джавеліни'... таким чином, Україна отримає невелику перевагу в тому плані, що російський наступ не відбудеться взагалі","Russia will not risk attacking Ukraine due to lack of its own military power... if tanks come - we will receive 'Javelins'... thus, Ukraine will gain a small advantage in that Russian offensive will not happen at all","Military intelligence expert Mikhaylo Prytula argues Russia will not attack Ukraine due to insufficient military capacity and Ukrainian defensive capabilities from US weapons, contradicting Western diplomatic concerns about Russian troop concentrations near the border.",True,live,
28,2021-12-03,iz.ru,ru,В Совфеде заявили о готовности России к возможным военным провокациям Украины,https://iz.ru/1258905/2021-12-03/v-sovfede-zaiavili-o-gotovnosti-rossii-k-vozmozhnym-voennym-provokatciiam-ukrainy,news,official_russian,Konstantin Kosachev,Russian Federation Council (Совфед),-0.85,0.9,none,unspecified,,0.075,0.856,14,no_invasion,"У нас нет никаких планов в части нападения на Украину, как нет и никакой повышенной военной активности у украинских границ. И мы не ведем подготовку к проведению какой-то наступательной операции","We have no plans to attack Ukraine, there is no increased military activity at Ukrainian borders, and we are not preparing any offensive operation","Russian Federation Council Vice-Speaker Kosachev firmly denies any Russian plans to attack Ukraine or prepare offensive operations in Donbas, while claiming Russia is ready for potential Ukrainian provocations backed by the West.",True,live,
29,2021-12-03,aljazeera.com,en,How real is the threat of a Russian invasion of Ukraine?,https://aljazeera.com/news/2021/12/3/how-real-is-the-threat-of-a-russian-invasion-of-ukraine,analysis,analyst,Ihor Romanenko,"Ukraine (retired lieutenant general, former deputy chief of staff)",0.65,0.7,full_scale,as early as January,,0.825,0.031,97,invasion,"As early as January, the Kremlin may unleash a 'brief and victorious' war on Ukraine... The blitzkrieg will not just involve tens of thousands of Russian servicemen currently deployed to the border with Ukraine... It may include an invasion of Russian troops from Moscow-friendly Belarus... and Transdnistria.","As early as January, the Kremlin may unleash a 'brief and victorious' war on Ukraine... The blitzkrieg will not just involve tens of thousands of Russian servicemen currently deployed to the border with Ukraine... It may include an invasion of Russian troops from Moscow-friendly Belarus... and Transdnistria.","Ukrainian military expert Ihor Romanenko assesses that Russia may launch a full-scale blitzkrieg invasion from multiple directions as early as January, though multiple Western and Russian analysts argue Putin is bluffing for geopolitical leverage rather than planning imminent military action.",True,wayback,20211203113744
30,2021-12-03,ecfr.eu,en,Why Russia could invade Ukraine again,https://ecfr.eu/article/why-russia-could-invade-ukraine-again,analysis,author,Mark Leonard (implied ECFR analyst),European Council on Foreign Relations,0.65,0.7,unclear,by end of 2022 / unspecified near-term,,0.825,0.031,97,invasion,"Russia's most likely course of action is to launch a limited offensive from Donbas... As such, the West does not face a stark choice between either abandoning Ukraine or risking total war.","Russia's most likely course of action is to launch a limited offensive from Donbas... As such, the West does not face a stark choice between either abandoning Ukraine or risking total war.","ECFR analyst argues Russia is seriously preparing for military action against Ukraine and will likely launch a limited offensive from Donbas to coerce Kyiv, though full-scale invasion is possible but costly; West has room to influence Moscow's calculus through credible deterrence.",False,live,
31,2021-12-04,politico.eu,en,Putin's choice: Hot war or a deeply frozen conflict – POLITICO,https://politico.eu/article/ukraine-russia-donbas-region-nato-vladimir-putin-war-frozen-conflict,analysis,author,Politico staff/analysis,Politico,0.35,0.6,unclear,unspecified,,0.675,0.106,89,invasion,"Top United States officials say they are worried Russia is aiming to heat things up in Ukraine, with troops positioned along the border for a potentially imminent invasion. However, Russian President Vladimir Putin may have precisely the opposite in mind: deepening the freeze of the conflict.","Top United States officials say they are worried Russia is aiming to heat things up in Ukraine, with troops positioned along the border for a potentially imminent invasion. However, Russian President Vladimir Putin may have precisely the opposite in mind: deepening the freeze of the conflict.","Politico analysis presents competing U.S. and Russian assessments: U.S. officials warn of imminent Russian invasion risk, while the author suggests Putin may instead aim to deepen the frozen conflict in Donbas rather than escalate to full war.",True,live,
32,2021-12-06,russiancouncil.ru,ru,Хотят ли русские войны?,https://russiancouncil.ru/analytics-and-comments/analytics/khotyat-li-russkie-voyny,analysis,author,"Dmitry Suslov (implied, Russian Council on International Affairs)",Russian Council on International Affairs (Russiancouncil.ru),-0.75,0.7,none,unspecified,,0.125,0.766,23,no_invasion,"Все это вместе подводит меня к мысли о том, что крупная война с Украиной совершенно не вписывается в планы Москвы... Если бы Владимир Путин действительно готовил масштабную военную операцию на территории Украины, то об этой подготовке все мы, скорее всего, ничего бы не знали до самого последнего момента.","All this together leads me to the conclusion that a large-scale war with Ukraine does not fit into Moscow's plans at all... If Vladimir Putin were truly preparing a large-scale military operation on Ukrainian territory, we would most likely know nothing about this preparation until the very last moment.","A Russian Council analyst argues that Russia's visible military deployments and rhetoric are political signaling, not preparation for invasion; a large-scale war does not fit Moscow's plans and would be conducted secretly if intended, unlike the current public posturing.",False,live,
33,2021-12-06,unian.net,ru,"Эксперт объяснил, почему Путин сейчас не может напасть на Украину и назвал другой сценарий",https://unian.net/war/ekspert-obyasnil-pochemu-putin-seychas-ne-mozhet-napast-na-ukrainu-i-nazval-drugoy-scenariy-novosti-donbassa-11632270.html,news,analyst,Aleksandr Musienko,Ukrainian military expert,-0.7,0.75,limited_donbas,unspecified,,0.15,0.722,28,no_invasion,"Чтобы иметь такое количество ударной группировки... нужно снять с центрального военного округа и западного военного округа. Это значит, обнажить тылы для Китая... Пока такого нет",To have such a strike force... one would need to withdraw from the Central and Western military districts. This means exposing the rear to China... This is not happening now.,"Ukrainian military expert Musienko argues Russia currently lacks the military capacity (400k troops) for full-scale invasion without exposing itself to China, making limited Donbas escalation more probable than full occupation.",False,live,
