n,date,domain,lang,reg,title,url,article_kind,primary_voice,vg,voice_name,voice_affiliation,projected_bloc_seats,stance,claim_strength,no61_kind,stated_probability,p61,side,key_quote,key_quote_en,summary,quote_verified,text_source,snapshot
11,2022-05-10,kikar.co.il,he,he,סקר חדש: עבאס לא עובר את אחוז החסימה,https://kikar.co.il/418513.html,poll,poll,polls,Kamil Fuchs Institute,Channel 13 News,59,-0.4,0.85,deadlock,,0.3,no61,"סקר חדש שפורסם הערב (שני) מעלה כי גוש הימין שומר על כוחו עם 59 מנדטים, גוש הממשלה הנוכחית עם 53 מנדטים.","A new poll published this evening (Monday) shows that the right-wing bloc maintains its strength with 59 seats, the current government bloc with 53 seats.","A Kamil Fuchs Institute poll for Channel 13 projects Netanyahu's right-wing bloc at 59 seats, falling short of the 61-seat majority needed.",True,live,
12,2022-05-13,haaretz.com,en,il_en,right wing parties declare they will recommend netanyahu to form coalition 1.7107531,https://haaretz.com/israel-news/elections/right-wing-parties-declare-they-will-recommend-netanyahu-to-form-coalition-1.7107531,news,politician_bloc,bloc,"Benjamin Netanyahu, Rafi Peretz, Arye Dery, Yaakov Litzman, Moshe Kahlon","Likud, Union of Right-Wing Parties, Shas, United Torah Judaism, Kulanu",60,0.5,0.7,n/a,,0.75,bloc61,"Kulanu, the Union of Right-Wing Parties, Shas and United Torah Judaism together got 25 Knesset seats. With Likud – who received 35 Knesset seats - the right-wing bloc would achieve the minimum 60 Knesset seats required for forming a coalition.","Kulanu, the Union of Right-Wing Parties, Shas and United Torah Judaism together got 25 Knesset seats. With Likud – who received 35 Knesset seats - the right-wing bloc would achieve the minimum 60 Knesset seats required for forming a coalition.","Right-wing party leaders declare they will recommend Netanyahu to form a coalition, with the bloc projected at 60 seats (one short of the 61-seat threshold), contingent on final vote counts and coalition negotiations.",True,live,
13,2022-05-15,haaretz.com,en,il_en,.premium a third election is almost inevitable even israel s political kingmaker knows that 1.8139487,https://haaretz.com/israel-news/elections/.premium-a-third-election-is-almost-inevitable-even-israel-s-political-kingmaker-knows-that-1.8139487,analysis,author,media,,Haaretz,,-0.9,0.85,deadlock,,0.05,no61,"For the first time in Israeli electoral history, it looks extremely likely that two candidates tapped by the president have failed to form a government... a third consecutive election campaign.","For the first time in Israeli electoral history, it looks extremely likely that two candidates tapped by the president have failed to form a government... a third consecutive election campaign.",Haaretz analysis asserts that a third election is almost inevitable because both presidential candidates have failed to form a government.,True,live,
14,2022-05-15,washingtoninstitute.org,en,intl,increasingly right stuff religious parties israels upcoming election,https://washingtoninstitute.org/policy-analysis/increasingly-right-stuff-religious-parties-israels-upcoming-election,analysis,analyst,media,Tamar Hermann,Israel Democracy Institute / Washington Institute for Near East Policy,,0.55,0.75,n/a,,0.775,bloc61,"the most likely outcomes are either another narrow right-wing government led by the Likud Party, or a broader center-right one with both Likud and Kahol Lavan... opposition from these religious parties will continue to prevent the formation of any purely centrist Israeli government.","the most likely outcomes are either another narrow right-wing government led by the Likud Party, or a broader center-right one with both Likud and Kahol Lavan... opposition from these religious parties will continue to prevent the formation of any purely centrist Israeli government.","Analyst Tamar Hermann argues that Israel's rightward-tilted religious parties will most likely enable a narrow right-wing Likud government or center-right coalition, making a purely centrist government 'almost impossible,' though she acknowledges Netanyahu's legal troubles and political surprises add uncertainty.",True,live,
15,2022-05-16,haaretz.com,en,il_en,a looming war lifts netanyahu s spirits 1.7768083,https://haaretz.com/israel-news/elections/a-looming-war-lifts-netanyahu-s-spirits-1.7768083,analysis,author,media,Gideon Levy (implied),Haaretz,57,-0.5,0.7,deadlock,,0.25,no61,"The polls, without which we have nothing to base our conjectures on, are holding steady: At best, the Likud-Haredi-far-right bloc will garner 57 seats... The specter of an indecisive dead end is still preoccupying the leaders of all parties at present.","The polls, without which we have nothing to base our conjectures on, are holding steady: At best, the Likud-Haredi-far-right bloc will garner 57 seats... The specter of an indecisive dead end is still preoccupying the leaders of all parties at present.","The author reports that polls show Netanyahu's bloc at best reaching 57 seats, well short of 61, creating a deadlock scenario; Netanyahu himself remains optimistic about reaching 61, but the article emphasizes the structural difficulty and explores contingency plans including a broad coalition with Gantz.",True,live,
16,2022-05-16,haaretz.com,en,il_en,election poll kahanist party rejected from right wing merger makes it into knesset 1.8408394,https://haaretz.com/israel-news/elections/election-poll-kahanist-party-rejected-from-right-wing-merger-makes-it-into-knesset-1.8408394,poll,poll,polls,"Channel 13 News, Channel 12 News",Israeli television news outlets,,-0.6,0.85,deadlock,,0.2,no61,"Both main blocs are still predicted less than a solid 61-seat majority, required to form a government.","Both main blocs are still predicted less than a solid 61-seat majority, required to form a government.","Two Israeli polls from May 2022 project that both the Netanyahu-led right-wing bloc and the Gantz-led opposition bloc fall short of the 61 seats needed to form a government, with Lieberman's Yisrael Beiteinu positioned as kingmaker.",True,live,
17,2022-05-17,haaretz.com,en,il_en,election poll israel s biggest parties going strong but neither secure majority 1.7758447,https://haaretz.com/israel-news/elections/election-poll-israel-s-biggest-parties-going-strong-but-neither-secure-majority-1.7758447,poll,poll,polls,Kan,Kan public broadcaster,56,-0.6,0.85,deadlock,,0.2,no61,"Kan's poll, similarly to other public opinion polls released over the past weeks, shows the right-wing bloc, together with the ultra-Orthodox parties, would receive only 56 seats.","Kan's poll, similarly to other public opinion polls released over the past weeks, shows the right-wing bloc, together with the ultra-Orthodox parties, would receive only 56 seats.","A Kan public broadcaster poll projects Netanyahu's right-wing bloc plus ultra-Orthodox parties at 56 seats, falling short of the 61-seat majority needed, with Lieberman potentially able to deny Netanyahu coalition formation.",True,live,
18,2022-05-17,haaretz.com,en,il_en,.premium.HIGHLIGHT three days before israel s election small parties pass threshold final polls show 1.9637794,https://haaretz.com/israel-news/elections/.premium.HIGHLIGHT-three-days-before-israel-s-election-small-parties-pass-threshold-final-polls-show-1.9637794,news,author,media,,Haaretz,,0,0.3,unclear,,0.5,uncertain,"If even one of them fails to meet the threshold, it could dramatically affect each camp's likelihood of being able to form the next government.","If even one of them fails to meet the threshold, it could dramatically affect each camp's likelihood of being able to form the next government.","The author notes that small parties' threshold performance could dramatically affect whether either camp can form a government, but offers no explicit prediction on Netanyahu's bloc reaching 61 seats.",True,live,
19,2022-05-18,haaretz.com,en,il_en,.premium israeli arabs who refuse to vote are handing netanyahu victory on a silver platter 1.7081686,https://haaretz.com/israel-news/elections/.premium-israeli-arabs-who-refuse-to-vote-are-handing-netanyahu-victory-on-a-silver-platter-1.7081686,opinion,author,media,,Haaretz,,0.5,0.7,n/a,,0.75,bloc61,"If they would do so on April 9, Israeli-Arabs could have ensured Netanyahu's defeat. [But] If their participation in national elections would match that of Israeli Jews, the Arab-Israeli vote would be worth, grosso modo, 19 seats in the Knesset.","If they would do so on April 9, Israeli-Arabs could have ensured Netanyahu's defeat. [But] If their participation in national elections would match that of Israeli Jews, the Arab-Israeli vote would be worth, grosso modo, 19 seats in the Knesset.","The author argues that low Arab voter turnout is enabling Netanyahu's victory, implying that higher turnout could have prevented it—suggesting the bloc is on track to reach 61+ seats unless Arab participation increases.",True,live,
20,2022-05-18,haaretz.com,en,il_en,.premium can the submarine scandal still sink netanyahu s promising electoral prospects 1.7085478,https://haaretz.com/israel-news/elections/.premium-can-the-submarine-scandal-still-sink-netanyahu-s-promising-electoral-prospects-1.7085478,analysis,author,media,Gideon Levy,Haaretz,,0.4,0.5,n/a,,0.7,bloc61,Netanyahu is trying to distance himself from new revelations and accusations that could sway undecided voters against him,Netanyahu is trying to distance himself from new revelations and accusations that could sway undecided voters against him,"The author suggests the submarine scandal and bribery accusations could potentially sway undecided voters against Netanyahu, but frames his electoral prospects as 'promising' despite the controversy.",True,live,
21,2022-05-20,haaretz.com,en,il_en,"'How to lose a Knesset majority without really trying,' starring: Naftali Bennett",https://haaretz.com/israel-news/.premium-how-to-lose-a-knesset-majority-without-really-trying-starring-naftali-bennett-1.10811207,analysis,author,media,Anshel Pfeffer,Haaretz,,-0.7,0.75,deadlock,,0.15,no61,"If Rinawie Zoabi continues her rebellion, this coalition will collapse quickly instead of slowly while intubated in a coma. Even now, the dynamics are fatal; situations like this, by their nature, are reality-changers.","If Rinawie Zoabi continues her rebellion, this coalition will collapse quickly instead of slowly while intubated in a coma. Even now, the dynamics are fatal; situations like this, by their nature, are reality-changers.","Pfeffer argues the current coalition government (Bennett-led, not Netanyahu's bloc) is collapsing due to defections and internal dysfunction, with Netanyahu positioned to benefit and potentially return to power, implying Netanyahu's bloc will not reach 61 seats in the current Knesset but may in a new election.",True,wayback,20220520094129
22,2022-05-20,kommersant.ru,ru,ru,В Израиле могут пройти пятые парламентские выборы за три года,https://kommersant.ru:443/doc/5358018,news,author,media,,Kommersant,,-0.7,0.75,deadlock,,0.15,no61,"Тем самым теперь в оппозиции больше депутатов, чем в правящей коалиции: 61 человек против 59. Кризис правящей коалиции может привести к тому, что в стране пройдут внеочередные парламентские выборы.","Thus, now the opposition has more deputies than the ruling coalition: 61 against 59. The crisis of the ruling coalition could lead to new parliamentary elections in the country.","The author reports that the ruling coalition has lost its majority (59 vs 61 opposition seats as of May 2022), making new elections or an opposition government possible, with no indication Netanyahu's bloc will reach 61+ seats.",True,live,
23,2022-05-22,israelinfo.co.il,ru,ru,"Опрос: МЕРЕЦ сходит со сцены, Израиль останется без коалиции",https://news.israelinfo.co.il/politics/103039,poll,poll,polls,103FM,103FM radio station,60,-0.4,0.85,deadlock,,0.3,no61,"блок Нетаниягу усиливается, но по-прежнему не дотягивает до формирования коалиции. Ликуд мог бы завоевать сегодня 36 мандатов и вместе с харедим и религиозными сионистами (8+9+7) получает 60 мандатов.","Netanyahu's bloc is strengthening, but still falls short of forming a coalition. Likud could win 36 seats today and together with Haredim and religious Zionists (8+9+7) gets 60 seats.","A 103FM poll projects Netanyahu's bloc at 60 seats (Likud 36 + Shas 8 + UTJ 9 + Religious Zionism 7), one short of a 61-seat majority, creating a deadlock scenario where the Arab bloc becomes kingmaker.",True,live,
24,2022-05-22,haaretz.com,en,il_en,.premium haaretz election poll support for gantz drops dramatically right wing bloc leads 1.7002703,https://haaretz.com/israel-news/elections/.premium-haaretz-election-poll-support-for-gantz-drops-dramatically-right-wing-bloc-leads-1.7002703,poll,poll,polls,Haaretz Election Poll,Haaretz,,0.5,0.7,n/a,,0.75,bloc61,"The Lapid-Gantz roster is losing momentum, along with numerous Knesset seats, while the Likud maintains its standing. Right-Wing Bloc in the Lead.","The Lapid-Gantz roster is losing momentum, along with numerous Knesset seats, while the Likud maintains its standing. Right-Wing Bloc in the Lead.","A Haaretz poll reports the right-wing bloc leads with Gantz-Lapid alliance dropping to 31 seats, suggesting momentum favors Netanyahu's bloc, though the full bloc seat count is not explicitly stated in the available text.",True,live,
25,2022-05-24,washingtoninstitute.org,en,intl,why political comeback israels netanyahu just became lot less likely,https://washingtoninstitute.org/policy-analysis/why-political-comeback-israels-netanyahu-just-became-lot-less-likely,analysis,author,media,Neri Zilber,Washington Institute for Near East Policy / Foreign Policy,,-0.7,0.75,opposition_forms_govt,,0.15,no61,"A third comeback is looking less and less possible... Netanyahu remains a contentious figure in Israeli politics, the chances that a majority of lawmakers would agree to have him head an alternative government seem unlikely.","A third comeback is looking less and less possible... Netanyahu remains a contentious figure in Israeli politics, the chances that a majority of lawmakers would agree to have him head an alternative government seem unlikely.","Neri Zilber argues that Netanyahu's political comeback has become significantly less likely because the Bennett-Lapid coalition's successful budget passage has stabilized the government, making it durable until 2025, while Netanyahu's controversial status makes forming an alternative government around him improbable.",True,live,
26,2022-05-25,ynet.co.il,he,he,"ח""כ ביהדות התורה חשף באולפן ynet: ""נתניהו מנהל מגעים להקמת ממשלה ברוטציה""; הליכוד לא",https://ynet.co.il/news/article/hk4ipoivq,interview,politician_bloc,bloc,Uri Maklev,United Torah Judaism (Yahadut HaTorah),,0,0.3,unclear,,0.5,uncertain,משיחות עם בכירים בליכוד מתנהלים בימים אלה מגעים עם מפלגות מתוך הקואליציה על הקמת ממשלה חלופית בראשותו... העיקר שתגיע ממשלה אחרת,Talks are currently underway with senior Likud members and parties within the coalition about forming an alternative government... The main thing is that another government arrives,"UTJ's Maklev claims Netanyahu is negotiating an alternative government with rotation, but Likud denies any rotation agreement and insists only a Netanyahu-led national government is viable.",True,live,
27,2022-05-26,jpost.com,en,il_en,70% of Israelis don't want Arab party in future coalition - Jpost Poll - Israel News,https://jpost.com/israel-news/article-707827,poll,poll,polls,Panels Politics Research,The Jerusalem Post,59,-0.4,0.85,deadlock,,0.3,no61,"Benjamin Netanyahu's Likud comes out on top but would consistently fall short of the 61 seats needed to form a coalition. His bloc of Likud, Religious Zionist Party, Shas and United Torah Judaism would win 59 seats if an election would be held now.","Benjamin Netanyahu's Likud comes out on top but would consistently fall short of the 61 seats needed to form a coalition. His bloc of Likud, Religious Zionist Party, Shas and United Torah Judaism would win 59 seats if an election would be held now.","A Panels Politics poll for The Jerusalem Post projects Netanyahu's bloc (Likud, Religious Zionist Party, Shas, United Torah Judaism) at 59 seats, falling short of the 61 needed to form a government, with the article stating 'no possibility of forming a government without major ideological compromises.'",True,live,
28,2022-05-27,israelnationalnews.com,en,il_en,Poll: 'Netanyahu bloc' on the rise,https://israelnationalnews.com/news/328360,poll,poll,polls,Mano Geva,Channel 12 News,59,-0.4,0.85,deadlock,,0.3,no61,"When it comes to the blocs, one can identify a trend of a slow strengthening of the ""Netanyahu bloc"", which already has 59 seats, compared with 52 in the last election.","When it comes to the blocs, one can identify a trend of a slow strengthening of the ""Netanyahu bloc"", which already has 59 seats, compared with 52 in the last election.","A Mano Geva poll for Channel 12 projects Netanyahu's bloc at 59 seats, below the 61-seat majority threshold, showing strengthening but falling short.",True,live,
29,2022-05-27,maariv.co.il,he,he,כמעט שנה לממשלת בנט-לפיד: האם סופה של הקואליציה קרב? | סקר,https://maariv.co.il/news/politics/Article-921059,poll,poll,polls,Maariv poll (unnamed pollster),Maariv,59,-0.4,0.85,deadlock,,0.3,no61,"במפת הגושים נמצא שבלוק הימין זוכה ל-59 מנדטים, לעומת 52 בבחירות האחרונות.","In the bloc map, the right-wing bloc wins 59 seats, compared to 52 in the last elections.","A Maariv poll from May 2022 projects Netanyahu's right-wing bloc at 59 seats, falling short of the 61-seat majority needed to form a government.",True,live,
30,2022-05-27,inn.co.il,he,he,"סקר מנדטים מגלה: מרצ נמחקת, בן גביר מפתיע",https://inn.co.il/news/551030,poll,poll,polls,Panels Politics,Jerusalem Post / Panel4All,,0,0.3,unclear,,0.5,uncertain,"על פי הסקר, רשימה שמאחדת את מפלגות ימינה, תקווה חדשה וישראל ביתנו מקבלת 12 מנדטים, פחות מאשר מקבלות שלושתן בנפרד (15 על פי הסקר הנוכחי).","According to the poll, a list uniting right-wing parties, Tikva Chadasha and Yisrael Beytenu receives 12 seats, fewer than the three receive separately (15 according to the current poll).",A Panels Politics poll for the Jerusalem Post reports on seat distributions under various coalition scenarios but does not explicitly project Netanyahu's bloc total or assess whether it will reach 61 seats.,True,live,
31,2022-05-27,maariv.co.il,he,he,"סקר מנדטים: מרצ נמחקת, בן גביר מפתיע והאם נתניהו יקים קואליציה?",https://maariv.co.il/news/politics/Article-920927,poll,poll,polls,Unknown pollster,Maariv,,0,0.3,unclear,,0.5,uncertain,"סקר מנדטים: מרצ נמחקת, בן גביר מפתיע והאם נתניהו יקים קואליציה?","Seat poll: Meretz erased, Ben-Gvir surprises and will Netanyahu form a coalition?","A Maariv seat poll raises the question of whether Netanyahu will form a coalition, but the article excerpt does not provide the bloc's projected seat total or a clear answer.",False,live,
32,2022-05-27,jpost.com,en,il_en,Is a Netanyahu comeback becoming more likely?,https://jpost.com/israel-news/politics-and-diplomacy/article-707812,analysis,author,media,Herb Keinon,Jerusalem Post,,0.35,0.6,n/a,,0.675,bloc61,"Perhaps with the help of a new party formed by Chikli taking former Yamina and New Hope voters, the strategy is to get 61 MKs for Netanyahu's bloc by taking advantage of the Right's fear of Lapid... A successful comeback after he failed in four elections still remains far-fetched. But he has surprised both his strongest supporters and worst enemies before.","Perhaps with the help of a new party formed by Chikli taking former Yamina and New Hope voters, the strategy is to get 61 MKs for Netanyahu's bloc by taking advantage of the Right's fear of Lapid... A successful comeback after he failed in four elections still remains far-fetched. But he has surprised both his strongest supporters and worst enemies before.","The author analyzes how Netanyahu's trial momentum and Bennett government disintegration have made a 61-seat bloc comeback theoretically possible but still far-fetched, with Likud officials claiming they are working to secure the necessary defectors.",True,live,
33,2022-05-28,theyeshivaworld.com,en,il_en,erev shabbos election poll yesh atid is the largest party,https://theyeshivaworld.com/news/israel-news/1448962/erev-shabbos-election-poll-yesh-atid-is-the-largest-party.html,poll,poll,polls,Panels-Politics,Maariv,34,-0.6,0.85,opposition_forms_govt,,0.2,no61,"Yesh Atid emerges the largest party, with 27 seats as compared to Likud with only 22... if this was the result of the next election, it would result in Prime Minister Binyamin Netanyahu leaving politics... willing to join a coalition headed by Yesh Atid leader Yair Lapid instead of teaming with the chareidim.","Yesh Atid emerges the largest party, with 27 seats as compared to Likud with only 22... if this was the result of the next election, it would result in Prime Minister Binyamin Netanyahu leaving politics... willing to join a coalition headed by Yesh Atid leader Yair Lapid instead of teaming with the chareidim.","A Panels-Politics poll for Maariv shows Netanyahu's bloc (Likud 22 + Shas 4 + Yahadut Hatorah 8 = 34 seats) far short of 61, with analysts noting this would force Netanyahu from politics and enable a Lapid-led coalition.",True,live,
34,2022-05-28,theyeshivaworld.com,en,il_en,senior blue white official the chareidim will find the way to enter into a coalition with us,https://theyeshivaworld.com/news/israel-news/1757728/senior-blue-white-official-the-chareidim-will-find-the-way-to-enter-into-a-coalition-with-us.html,news,politician_anti,anti,Moshe Ya'alon,Blue & White / Democratic Israel,,0.3,0.5,n/a,,0.65,bloc61,"In the event we are building the next coalition government, the chareidim will find a way to enter a coalition headed by us. We are the rational center.","In the event we are building the next coalition government, the chareidim will find a way to enter a coalition headed by us. We are the rational center.","Moshe Ya'alon (Blue & White) asserts that if his bloc forms the next government, the ultra-Orthodox parties will join them, framing his bloc as the rational center alternative to Netanyahu.",True,live,
35,2022-06-03,srugim.co.il,he,he,נתניהו בשיא של מנדטים: 'הארץ' חושף סקר פנימי,https://srugim.co.il/679681-%D7%A0%D7%AA%D7%A0%D7%99%D7%94%D7%95-%D7%91%D7%A9%D7%99%D7%90-%D7%A9%D7%9C-%D7%9E%D7%A0%D7%93%D7%98%D7%99%D7%9D-%D7%94%D7%90%D7%A8%D7%A5-%D7%97%D7%95%D7%A9%D7%A3-%D7%A1%D7%A7%D7%A8-%D7%A4%D7%A0,news,poll,polls,Midgam (מדגם),Channel 12 News,59,-0.4,0.85,deadlock,,0.3,no61,על פי החלוקה לגושים: קואליציה נוכחית: 55 מנדטים. גוש נתניהו 59 מנדטים. הרשימה המשותפת 6 מנדטים.,"By bloc division: current coalition 55 seats, Netanyahu bloc 59 seats, Joint List 6 seats.","A Midgam poll for Channel 12 projects Netanyahu's bloc at 59 seats, two short of a majority, though an internal coalition poll cited by Haaretz showed it reaching exactly 61.",True,live,
36,2022-06-03,israelnationalnews.com,en,il_en,MK Nir Barkat: Sa'ar knows that he will be wiped out if there's an election,https://israelnationalnews.com/news/354381,news,politician_bloc,bloc,Nir Barkat,Likud,,0.4,0.5,n/a,,0.7,bloc61,The reality has changed and today the right-wingers understand it. I feel it... they do not exactly rule out sitting with Netanyahu. They understand that there will be an election soon and they will be wiped out if they do not join the national camp.,The reality has changed and today the right-wingers understand it. I feel it... they do not exactly rule out sitting with Netanyahu. They understand that there will be an election soon and they will be wiped out if they do not join the national camp.,"Likud MK Nir Barkat claims a Likud-led government is now possible because right-wing parties will join Netanyahu to avoid electoral wipeout, contradicting earlier refusals; Sa'ar denies any negotiations.",True,live,
